Dining Hall,Day,Breakfast,Lunch,Dinner,
The Commons Dining Center,Monday+A2,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Friday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Saturday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
The Commons Dining Center,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
E. Bronson Ingram Dining Center,Saturday,CLOSED,CLOSED,CLOSED,
E. Bronson Ingram Dining Center,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
Rothschild Dining Center - Contains Peanuts & Treenuts,Saturday,CLOSED,CLOSED,CLOSED,
Rothschild Dining Center - Contains Peanuts & Treenuts,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Zeppos Dining,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
Zeppos Dining,Saturday,CLOSED,CLOSED,CLOSED,
Zeppos Dining,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Rand Dining Center,Monday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Friday,7:00AM-10:00AM,11:00AM-3:00PM,4:00PM-8:00PM,
Rand Dining Center,Saturday,8:00AM-8:00PM,8:00AM-8:00PM,8:00AM-8:00PM,
Rand Dining Center,Sunday,CLOSED,CLOSED,CLOSED,
Commodore Pizza Kitchen,Monday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Tuesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Wednesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Thursday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Friday,11:00AM-2:00PM,11:00AM-2:00PM,CLOSED,
Commodore Pizza Kitchen,Saturday,CLOSED,CLOSED,CLOSED,
Commodore Pizza Kitchen,Sunday,CLOSED,CLOSED,3:00PM-8:00PM,
The Pub at Overcup Oak,Monday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Tuesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Wednesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Thursday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Friday,11:00AM-3:00PM,11:00AM-3:00PM,11:00AM-3:00PM,
The Pub at Overcup Oak,Saturday,CLOSED,CLOSED,CLOSED,
The Pub at Overcup Oak,Sunday,CLOSED,11:00AM-8:00PM,11:00AM-8:00PM,
The Kitchen at Kissam,Monday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Friday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
The Kitchen at Kissam,Saturday,CLOSED,CLOSED,CLOSED,
The Kitchen at Kissam,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-8:00PM,
Vandy Blenz,Monday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Tuesday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Wednesday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Thursday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Friday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Saturday,9:00AM-2:00PM,9:00AM-2:00PM,CLOSED,
Vandy Blenz,Sunday,CLOSED,CLOSED,CLOSED,
Cafe Carmichael - Contains Peanuts & Treenuts,Monday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
Cafe Carmichael - Contains Peanuts & Treenuts,Tuesday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
Cafe Carmichael - Contains Peanuts & Treenuts,Wednesday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
Cafe Carmichael - Contains Peanuts & Treenuts,Thursday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
Cafe Carmichael - Contains Peanuts & Treenuts,Friday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
Cafe Carmichael - Contains Peanuts & Treenuts,Saturday,CLOSED,CLOSED,CLOSED,
Cafe Carmichael - Contains Peanuts & Treenuts,Sunday,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,
Wasabi,Monday,11:00AM-6:00PM,11:00AM-6:00PM,11:00AM-6:00PM,
Wasabi,Tuesday,11:00AM-6:00PM,11:00AM-6:00PM,11:00AM-6:00PM,
Wasabi,Wednesday,11:00AM-6:00PM,11:00AM-6:00PM,11:00AM-6:00PM,
Wasabi,Thursday,11:00AM-6:00PM,11:00AM-6:00PM,11:00AM-6:00PM,
Wasabi,Friday,11:00AM-6:00PM,11:00AM-6:00PM,11:00AM-6:00PM,
Wasabi,Saturday,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,
Wasabi,Sunday,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,
Local Java Cafe at Alumni,Monday,7:00AM-2:00PM,7:00AM-2:00PM,CLOSED,
Local Java Cafe at Alumni,Tuesday,7:00AM-2:00PM,7:00AM-2:00PM,CLOSED,
Local Java Cafe at Alumni,Wednesday,7:00AM-2:00PM,7:00AM-2:00PM,CLOSED,
Local Java Cafe at Alumni,Thursday,7:00AM-2:00PM,7:00AM-2:00PM,CLOSED,
Local Java Cafe at Alumni,Friday,7:00AM-2:00PM,7:00AM-2:00PM,CLOSED,
Local Java Cafe at Alumni,Saturday,8:00AM-1:00PM,8:00AM-1:00PM,CLOSED,
Local Java Cafe at Alumni,Sunday,CLOSED,CLOSED,CLOSED,
Grins Vegetarian Cafe,Monday,7:30AM-8:00PM,7:30AM-8:00PM,7:30AM-8:00PM,
Grins Vegetarian Cafe,Tuesday,7:30AM-8:00PM,7:30AM-8:00PM,7:30AM-8:00PM,
Grins Vegetarian Cafe,Wednesday,7:30AM-8:00PM,7:30AM-8:00PM,7:30AM-8:00PM,
Grins Vegetarian Cafe,Thursday,7:30AM-8:00PM,7:30AM-8:00PM,7:30AM-8:00PM,
Grins Vegetarian Cafe,Friday,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,
Grins Vegetarian Cafe,Saturday,CLOSED,CLOSED,CLOSED,
Grins Vegetarian Cafe,Sunday,CLOSED,CLOSED,CLOSED,
Suzie's Blair School of Music,Monday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Blair School of Music,Tuesday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Blair School of Music,Wednesday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Blair School of Music,Thursday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Blair School of Music,Friday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Blair School of Music,Saturday,CLOSED,CLOSED,CLOSED,
Suzie's Blair School of Music,Sunday,CLOSED,CLOSED,CLOSED,
Suzie's Featheringhill,Monday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Featheringhill,Tuesday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Featheringhill,Wednesday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Featheringhill,Thursday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Featheringhill,Friday,8:00AM-2:30PM,8:00AM-2:30PM,8:00AM-2:30PM,
Suzie's Featheringhill,Saturday,CLOSED,CLOSED,CLOSED,
Suzie's Featheringhill,Sunday,CLOSED,CLOSED,CLOSED,
Suzie's MRB III,Monday,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,
Suzie's MRB III,Tuesday,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,
Suzie's MRB III,Wednesday,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,
Suzie's MRB III,Thursday,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,
Suzie's MRB III,Friday,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,
Suzie's MRB III,Saturday,CLOSED,CLOSED,CLOSED,
Suzie's MRB III,Sunday,CLOSED,CLOSED,CLOSED,
Suzie's Central Library - Food for Thought Cafe,Monday,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,
Suzie's Central Library - Food for Thought Cafe,Tuesday,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,
Suzie's Central Library - Food for Thought Cafe,Wednesday,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,
Suzie's Central Library - Food for Thought Cafe,Thursday,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,
Suzie's Central Library - Food for Thought Cafe,Friday,8:00AM-3:00PM,8:00AM-3:00PM,CLOSED,
Suzie's Central Library - Food for Thought Cafe,Saturday,CLOSED,CLOSED,CLOSED,
Suzie's Central Library - Food for Thought Cafe,Sunday,CLOSED,CLOSED,CLOSED,
Branscomb Munchie,Monday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Branscomb Munchie,Tuesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Branscomb Munchie,Wednesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Branscomb Munchie,Thursday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Branscomb Munchie,Friday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Branscomb Munchie,Saturday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,
Branscomb Munchie,Sunday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,
Commons Grounds,Monday,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,
Commons Grounds,Tuesday,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,
Commons Grounds,Wednesday,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,
Commons Grounds,Thursday,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,
Commons Grounds,Friday,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,
Commons Grounds,Saturday,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,
Commons Grounds,Sunday,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,
Highland Munchie,Monday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Highland Munchie,Tuesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Highland Munchie,Wednesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Highland Munchie,Thursday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Highland Munchie,Friday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Highland Munchie,Saturday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,
Highland Munchie,Sunday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,
Kissam Munchie,Monday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Kissam Munchie,Tuesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Kissam Munchie,Wednesday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Kissam Munchie,Thursday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Kissam Munchie,Friday,7:00AM-11:00PM,7:00AM-11:00PM,7:00AM-11:00PM,
Kissam Munchie,Saturday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,
Kissam Munchie,Sunday,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,